Intent,Statement
Question,How do gaming consoles connect to the internet when we travel?  
Imitation,Moo
Question,Can I talk to animals if I learn their language?  
Command,"Pass me the basketball, I want to shoot!  "
Emotion,"I’m mad at him!—like my whole face turned into a thundercloud, and all I want to do is yell, “Why did you do that?”"
Comfort,Pat-pat. 
Distress,The thought of my pet suffering is making me feel distraught and overwhelmed.
Refusal,No way! That’s not where my energy wants to go.
Need,My thirst requires that you bring water; I feel an urgent need for it.
Distress,I feel shaken because I don’t know what to do.
Command,I said keep them where I’ll look
Command,"Release it,You shouldn’t be touching that!"
Desire,I’m all about having scones with butter today
Refusal,No thank you! I’ll skip it.
Complaint,It’s like the knot is stuck in a knot of its own!
Comfort,"Your hug, held so, so tight, makes everything feel okay."
Complaint,It’s like the room is playing hide-and-seek with the light!
Comfort,I wish I felt brave and that the scary dream was only in my imagination.
Distress,My lunch spilled on my bus seat!  
Excitement,This park is so much fun!
Command,Please just give it now
Desire,I’m longing for a delicious pizza lunch with a crispy crust!
Gratitude,Yay for my pink coral in Ullapool!
Command,"Hands off my stuff,Respect my space!"
Need,I need to finish my drawing right now because I'm almost done and I really want to see it completed.
Question,"What's the answer regarding our request to bake cookies, followed by games?"
Need,I need a cold drink to chase away the heat dancing on my tongue.
Refusal,I’m not ready to stop playing.
Emotion,Kind words make me feel like I’m part of a world that still believes in gentle magic.
Command,"Light the candles, I want to start the celebration!  "
Need,My energy is crashing—I need a bite to power back up.
Excitement,"Best day ever, it feels like a sparkly, happy feeling!"
Emotion,"When I sing,I feel like I’m sharing a piece of my joy with the whole world."
Distress,It’s icy cold and I’m feeling chilled and uncomfortable
Imitation,I’m pretending to curl my tail and roar from a mountaintop!
Need,Could I please have a marker?
Comfort,A small gesture of help brings me comfort and joy.
Emotion,"thank you, anger, for showing up to protect what I value—but now I want to understand, to be heard, and maybe to heal."
Complaint,This weather is just plain annoying.
Desire,"Daddy, I wish we could have fish and chips for dinner!  "
Need,"I REALLY, REALLY, REALLY want to play with the train set and my superhero figures NOW!"
Emotion,"I’m lonely like a star in a sky full of lights—still shining, but feeling far away."
Command,You need to listen to me! Again!
Command,"Clean this mess up, now!"
Refusal,I’m not talking to him—he made me mad.
Emotion,I feel proud of how much I have improved!  
Complaint,I was in the middle of something fun and now it’s over.
Command,Sing a song for me!
Imitation,I’m copying the way they explain things step by step so everyone can understand!
Need,Can we watch a movie now?
Possession,No i wont share it
Attention,Look! I made a giant sandwich!  
Need,am ready to fill it with everything on my list.
Emotion,Getting a surprise treat feels like a sprinkle of joy landed in my day.
Observation,The sun is shining brightly.
Command,"Bring them to me,I need to color!"
Question,What's your favorite type of weather?
Need,I want you to guide me until I can play by myself.
Possession,Dada's phone. 
Observation,Kitty so soft
Command,"I said shut it, quick"
Desire,I'm desperate to join the soccer team.
Command,"Hurry up, we're going to miss the start of the movie!"
Comfort,A quiet moment together helps my heart feel lighter.
Pride,I know how to build
Distress,"It's appalling that my legs are tired from running so much, and I'm furious about this nightmare! No, no, no!"
Gratitude,I’m thankful for the way you made learning feel less stressful and more like a shared adventure.
Emotion,"When I can’t share,I feel like my joy is echoing in an empty room."
Question,Why do molecules in objects move faster when exposed to sunlight?
Imitation,I’m pretending to chase a laser dot with super speed!
Emotion,I feel stompy when I don’t get my way.
Complaint,It’s not fluffy—it’s tough and hard to bite.
Question,Will my hand feel buzzy like touching a spark?
Command,Be quiet and hear what I’m saying!
Question,Is curly hair made by magic springs inside the head?
Command,You’ve slept enough—get moving!
Command,It’s my turn to hold the firework
Pride,Look how fast I can run!
Emotion,I feel left out like a drum that never got to join the rhythm.
Imitation,"Mummy, Iâm running like Mo Farah!  "
Gratitude,"I cherish the way silence with you feels full, not empty—like a shared breath between heartbeats."
Possession,"That's my brother's new skateboard, it's super cool."
Need,These old shoes feel like too-small treasure chests—help me trade up for a perfect fit.
Emotion,I’m annoyed like a library with a marching band inside.
Desire,I want to play with my Easter bunny right away.
Gratitude,thank you for turning a simple meal into a grand occasion with that glorious Yorkshire wonder.
Question,Are my socks hiding in some secret spot?
Refusal,I don’t want that food.
Question,Could you please let me know the park's closing time?
Emotion,It feels like all the eyes are spotlights and I forgot my lines.
Distress,My heart feels heavy and I’m feeling anxious about my ripped drawing
Distress,I'm nervous about my swim lesson.
Comfort,Can you help me feel safe and comforted?
Command,Knock it off now
Complaint,It’s like the sourness is shouting louder than the flavor
Distress,My tummy is aching and not feeling right
Gratitude,"Daddy, I appreciate you teaching me about Kenyan history!   "
Command,Stop hitting your little brother!
Gratitude,Thank you for listening to my stories.
Refusal,Not happening! I’m not in the mood to visit.
Emotion,I’m hurt like a message in a bottle that never reaches the shore.
Complaint,That shirt just isn’t my style.
Question,"How do fish extract oxygen from water, and could I ever perform that function?"
Complaint,Socks feel funny—they’re not sitting still like good socks should!
Command,"Move over, I need space!"
Emotion,"being grumpy doesn’t mean I’m mean—it just means I need rest, kindness, and maybe a snack the size of a pillow."
Distress,That nightmare left me feeling forsaken.
Desire,I’m passionate about watching the stars at night.
Refusal,Nope! I’m not going to my room just because someone said so.
Command,You listen to me! Watch me!
Emotion,I care so much about doing well—that’s why my nerves are buzzing like a busy bee before the spotlight shines.
Emotion,"this sunshine joy feels like a warm tickle on my cheeks and a sparkle in my step, like the whole world is saying, “Let’s play!”"
Complaint,I’m always cleaning and it’s starting to feel unfair.
Command,"Make dinner earlier, I’m too hungry to wait!"
Refusal,Iâm not ready for bedtime!  
Command,No fair! Give me one now
Imitation,I’m copying the way they nod with honor and tradition!
Refusal,You really can’t make me.
Attention,Look at this cool trick
Command,"Release it, you’re not allowed to hold that!"
Distress,"My hands are so cold I can’t feel them, I’m so sad it’s like my fingers are gone"
Distress,"Help, oww that is hot, it’s scary and my hand’s shaking"
Command,Don't touch the noisy thing! Be quiet!
Refusal,"I’m using it, so don’t touch."
Refusal,"No,I’m not eating those peas, they’re yucky!"
Refusal,My coat is too puffy—I don’t want it.
Question,Go? 
Desire,I need to go outside for some fresh air.
Observation,My doll has blue eyes.
Question,Do clouds move faster in winter because of stronger winds?
Emotion,"for now, I’ll let my voice roar, because this storm is mine—and I’m not afraid to let it be heard."
Comfort,The waves speak in a language that soothes my soul.
Comfort,I want to cuddle.
Desire,"I wish I could read a story that makes me laugh, gasp, and dream all at once."
Refusal,No fluffy korma curry!
Refusal,"Thank you, but I’m full and don’t want more food."
